S2B_MSIL1C_20220925T100059_N0400_R093_T27DVC_20220925T114114,https://scihub.copernicus.eu/dhus/odata/v1/Products('5f5c4bb4-e7f6-4e4b-b979-97b94d7f545b')
S2B_MSIL1C_20220925T100059_N0400_R093_T26DPH_20220925T114114,https://scihub.copernicus.eu/dhus/odata/v1/Products('3a5cf005-2404-4e90-8171-562237c3657f')
S2B_MSIL2A_20220915T100059_N0400_R093_T27DVC_20220915T113549,https://scihub.copernicus.eu/dhus/odata/v1/Products('ba37982a-64cc-435b-9530-450563b92b8e')
S2B_MSIL2A_20220915T100059_N0400_R093_T26DPH_20220915T113549,https://scihub.copernicus.eu/dhus/odata/v1/Products('6511ff83-d38f-4d80-8b86-05dc4a58b5cd')
S2B_MSIL1C_20220915T100059_N0400_R093_T26DPH_20220915T112629,https://scihub.copernicus.eu/dhus/odata/v1/Products('5db00bd4-5c98-4258-8ac4-87616e20b256')
S2B_MSIL1C_20220915T100059_N0400_R093_T27DVC_20220915T112629,https://scihub.copernicus.eu/dhus/odata/v1/Products('eea49027-3c96-42cb-b50f-c5ba47a288a4')
S2B_MSIL1C_20220905T100059_N0400_R093_T27DVC_20220905T112243,https://scihub.copernicus.eu/dhus/odata/v1/Products('dc1687a6-503f-4564-8ac3-2409d24d5643')
S2B_MSIL1C_20220905T100059_N0400_R093_T26DPH_20220905T112243,https://scihub.copernicus.eu/dhus/odata/v1/Products('fab87f84-264b-4eef-8e61-e998a2637003')
S2B_MSIL2A_20220329T100059_N0400_R093_T27DVC_20220329T115641,https://scihub.copernicus.eu/dhus/odata/v1/Products('1af56139-a5e1-4537-a990-98c84ef0d1b5')
S2B_MSIL2A_20220329T100059_N0400_R093_T26DPH_20220329T115641,https://scihub.copernicus.eu/dhus/odata/v1/Products('3a5a8b86-c546-4d47-bdeb-fefb93f40792')
S2B_MSIL1C_20220329T100059_N0400_R093_T27DVC_20220329T113339,https://scihub.copernicus.eu/dhus/odata/v1/Products('8b1715f4-50d4-4aab-95ee-c9d58095fbf5')
S2B_MSIL1C_20220329T100059_N0400_R093_T26DPH_20220329T113339,https://scihub.copernicus.eu/dhus/odata/v1/Products('f8106392-8822-4fa4-8eed-31f3b02e1407')
S2B_MSIL2A_20220319T100059_N0400_R093_T26DPH_20220319T115229,https://scihub.copernicus.eu/dhus/odata/v1/Products('b9ffc277-b95e-4783-baf1-394a16c391e9')
S2B_MSIL2A_20220319T100059_N0400_R093_T27DVC_20220319T115229,https://scihub.copernicus.eu/dhus/odata/v1/Products('1cf0b3cf-0d8e-4d91-a59d-22f9afe1dd45')
S2B_MSIL1C_20220319T100059_N0400_R093_T26DPH_20220319T112643,https://scihub.copernicus.eu/dhus/odata/v1/Products('1bf6b69b-9910-480f-9d93-f26c03e58e69')
S2B_MSIL1C_20220319T100059_N0400_R093_T27DVC_20220319T112643,https://scihub.copernicus.eu/dhus/odata/v1/Products('dd2fc8d8-d2bf-47ce-8837-2574c0071c01')
S2B_MSIL2A_20220309T100059_N0400_R093_T26DPH_20220309T120005,https://scihub.copernicus.eu/dhus/odata/v1/Products('d5dbc7ea-0e83-4e1e-b5d1-2ae5860d93fa')
S2B_MSIL2A_20220309T100059_N0400_R093_T27DVC_20220309T120005,https://scihub.copernicus.eu/dhus/odata/v1/Products('f1aa88cb-d9a4-43e3-8062-f32ce901c8e4')
S2B_MSIL1C_20220309T100059_N0400_R093_T27DVC_20220309T112924,https://scihub.copernicus.eu/dhus/odata/v1/Products('0bf1c79c-431d-4f90-a33b-acdcd7a1298c')
S2B_MSIL1C_20220309T100059_N0400_R093_T26DPH_20220309T112924,https://scihub.copernicus.eu/dhus/odata/v1/Products('93bfb4d1-23c0-4fa3-ba59-6358bcd33fdc')
